Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
University Annual Fund,Colorado Springs,College of Natural Science,Endowment,8169,1/22/2014,Zoology,1953,CO
University Annual Fund,Miami,College of Arts and Sciences,Endowment,4204,7/22/2011,Women's and Gender Studies,1954,FL
Diversity Fund,Miami,College of Arts and Sciences,Endowment,7437,7/29/2012,Women's and Gender Studies,1954,FL
Minority Scholarship Fund,Miami,College of Arts and Sciences,Scholarship,5715,6/11/2013,Women's and Gender Studies,1954,FL
Diversity Fund,Miami,College of Arts and Sciences,Endowment,9270,2/25/2013,Women's and Gender Studies,1954,FL
College of Social Science,Miami,College of Arts and Sciences,Scholarship,5715,2/7/2014,Women's and Gender Studies,1954,FL
Minority Scholarship Fund,Miami,College of Arts and Sciences,Scholarship,9270,4/28/2014,Women's and Gender Studies,1954,FL
Parents Association,Manchester,College of Arts and Sciences,Campus Resource,9735,11/24/2011,Humanities-Prelaw,1955,NH
University Annual Fund,Manchester,College of Arts and Sciences,Endowment,8789,2/11/2012,Humanities-Prelaw,1955,NH
University Annual Fund,Manchester,College of Arts and Sciences,Endowment,9117,12/10/2013,Humanities-Prelaw,1955,NH
College of Arts and Sciences,Manchester,College of Arts and Sciences,Scholarship,1463,10/23/2013,Humanities-Prelaw,1955,NH
College of Agriculture and Natural Resources,Manchester,College of Arts and Sciences,Scholarship,9117,9/1/2014,Humanities-Prelaw,1955,NH
University Annual Fund,Manchester,College of Arts and Sciences,Endowment,1463,11/23/2014,Humanities-Prelaw,1955,NH
College of Business,Los Angeles,College of Agriculture and Natural Resources,Scholarship,5020,1/26/2011,Animal Science,1956,CA
University Libraries,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,5715,12/17/2012,Animal Science,1956,CA
College of Business,Los Angeles,College of Agriculture and Natural Resources,Scholarship,3281,7/10/2013,Animal Science,1956,CA
Faculty Chair Endowments,Los Angeles,College of Agriculture and Natural Resources,Endowment,1839,7/3/2013,Animal Science,1956,CA
Minority Scholarship Fund,Los Angeles,College of Agriculture and Natural Resources,Scholarship,3281,12/29/2014,Animal Science,1956,CA
College of Music,Los Angeles,College of Agriculture and Natural Resources,Scholarship,1839,9/7/2014,Animal Science,1956,CA
Minority Scholarship Fund,Houston,College of Arts and Sciences,Scholarship,643,6/2/2011,Arts & Letters-General,1957,TX
Diversity Fund,Houston,College of Arts and Sciences,Endowment,9117,10/2/2012,Arts & Letters-General,1957,TX
Faculty Chair Endowments,Houston,College of Arts and Sciences,Endowment,6664,5/3/2013,Arts & Letters-General,1957,TX
Faculty Chair Endowments,Houston,College of Arts and Sciences,Endowment,1485,9/22/2013,Arts & Letters-General,1957,TX
Trustees Fund,Houston,College of Arts and Sciences,Endowment,6664,3/5/2014,Arts & Letters-General,1957,TX
Faculty Chair Endowments,Houston,College of Arts and Sciences,Endowment,1485,9/24/2014,Arts & Letters-General,1957,TX
College of Arts and Sciences,St. Louis,College of Agriculture and Natural Resources,Scholarship,1384,2/18/2011,Agribusiness Management,1958,MO
Faculty Chair Endowments,St. Louis,College of Agriculture and Natural Resources,Endowment,3281,7/10/2012,Agribusiness Management,1958,MO
Parents Association,St. Louis,College of Agriculture and Natural Resources,Campus Resource,345,6/26/2013,Agribusiness Management,1958,MO
Faculty Chair Endowments,St. Louis,College of Agriculture and Natural Resources,Endowment,6304,4/25/2013,Agribusiness Management,1958,MO
College of Social Science,St. Louis,College of Agriculture and Natural Resources,Scholarship,345,4/11/2014,Agribusiness Management,1958,MO
Trustees Fund,St. Louis,College of Agriculture and Natural Resources,Endowment,6304,10/21/2014,Agribusiness Management,1958,MO
Trustees Fund,Savannah,College of Communication Arts and Sciences,Endowment,1552,5/27/2012,Media and Information,1959,GA
University Annual Fund,Savannah,College of Communication Arts and Sciences,Endowment,2729,2/5/2013,Media and Information,1959,GA
College of Natural Science,Savannah,College of Communication Arts and Sciences,Scholarship,2729,8/9/2014,Media and Information,1959,GA
College of Social Science,Chicago,College of Engineering,Scholarship,8743,6/28/2012,Materials Science and Engineering,1960,IL
Diversity Fund,Chicago,College of Engineering,Endowment,6016,1/22/2013,Materials Science and Engineering,1960,IL
Diversity Fund,Chicago,College of Engineering,Endowment,6016,6/15/2014,Materials Science and Engineering,1960,IL
College of Social Science,New York,College of Engineering,Scholarship,1818,1/27/2012,Applied Engineering Sciences,1961,NY
University Annual Fund,New York,College of Engineering,Endowment,8,7/9/2013,Applied Engineering Sciences,1961,NY
University Annual Fund,New York,College of Engineering,Endowment,8,12/30/2014,Applied Engineering Sciences,1961,NY
College of Arts and Sciences,Memphis,College of Agriculture and Natural Resources,Scholarship,3734,12/29/2012,Agriculture and Natural Resources-No Preference,1962,TN
Diversity Fund,Memphis,College of Agriculture and Natural Resources,Endowment,4657,11/21/2013,Agriculture and Natural Resources-No Preference,1962,TN
Campus Recreation,Memphis,College of Agriculture and Natural Resources,Campus Resource,4657,2/9/2014,Agriculture and Natural Resources-No Preference,1962,TN
Minority Scholarship Fund,Tallahassee,College of Natural Science,Scholarship,4984,7/19/2012,Neuroscience,1963,FL
College of Social Science,Tallahassee,College of Natural Science,Scholarship,794,9/24/2013,Neuroscience,1963,FL
In-State Scholarship Fund,Tallahassee,College of Natural Science,Scholarship,794,4/15/2014,Neuroscience,1963,FL
Campus Recreation,New York,College of Arts and Sciences,Campus Resource,517,6/18/2012,Studio Art,1964,NY
Minority Scholarship Fund,New York,College of Arts and Sciences,Scholarship,2285,9/13/2013,Studio Art,1964,NY
Parents Association,New York,College of Arts and Sciences,Campus Resource,2285,10/11/2014,Studio Art,1964,NY
Athletics,Chicago,College of Business,Campus Resource,5117,1/15/2012,General Management,1965,IL
In-State Scholarship Fund,Chicago,College of Business,Scholarship,1758,10/28/2013,General Management,1965,IL
College of Arts and Sciences,Chicago,College of Business,Scholarship,1758,11/21/2014,General Management,1965,IL
University Annual Fund,Indianapolis,College of Political Science,Endowment,3629,11/13/2012,Political Theory and Constitutional Democracy,1966,IN
University Annual Fund,Indianapolis,College of Political Science,Endowment,6087,8/11/2013,Political Theory and Constitutional Democracy,1966,IN
Faculty Chair Endowments,Indianapolis,College of Political Science,Endowment,6087,9/23/2014,Political Theory and Constitutional Democracy,1966,IN
College of Agriculture and Natural Resources,Memphis,College of Business,Scholarship,9524,10/16/2012,Finance,1967,TN
College of Agriculture and Natural Resources,Memphis,College of Business,Scholarship,8481,1/2/2013,Finance,1967,TN
Faculty Chair Endowments,Memphis,College of Business,Endowment,8481,11/7/2014,Finance,1967,TN
Trustees Fund,Denver,College of Music,Endowment,6906,2/5/2012,Music Performance,1968,CO
Trustees Fund,Denver,College of Music,Endowment,1476,2/26/2013,Music Performance,1968,CO
College of Business,Denver,College of Music,Scholarship,1476,9/5/2014,Music Performance,1968,CO
University Annual Fund,Jacksonville,College of Natural Science,Endowment,5452,1/17/2012,Environmental Geosciences,1969,FL
Parents Association,Jacksonville,College of Natural Science,Campus Resource,1556,2/5/2013,Environmental Geosciences,1969,FL
College of Agriculture and Natural Resources,Jacksonville,College of Natural Science,Scholarship,1556,1/3/2014,Environmental Geosciences,1969,FL
Faculty Chair Endowments,San Francisco,College of Social Science,Endowment,1718,2/20/2012,Global & Area Studies - Soc Sci,1970,CA
Diversity Fund,San Francisco,College of Social Science,Endowment,9176,9/12/2013,Global & Area Studies - Soc Sci,1970,CA
Faculty Chair Endowments,San Francisco,College of Social Science,Endowment,9176,8/15/2014,Global & Area Studies - Soc Sci,1970,CA
College of Agriculture and Natural Resources,Jacksonville,College of Political Science,Scholarship,2265,9/29/2012,Political Theory and Constitutional Democracy,1971,FL
College of Arts and Sciences,Jacksonville,College of Political Science,Scholarship,4606,6/3/2013,Political Theory and Constitutional Democracy,1971,FL
University Annual Fund,Jacksonville,College of Political Science,Endowment,4606,2/11/2014,Political Theory and Constitutional Democracy,1971,FL
College of Agriculture and Natural Resources,San Francisco,College of Agriculture and Natural Resources,Scholarship,3045,12/20/2012,Agribusiness Management,1972,CA
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,4930,6/18/2013,Agribusiness Management,1972,CA
University Annual Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,4930,7/14/2014,Agribusiness Management,1972,CA
College of Agriculture and Natural Resources,Lincoln,College of Natural Science,Scholarship,4698,7/1/2012,Environmental Biology/Zoology,1973,NE
College of Agriculture and Natural Resources,Lincoln,College of Natural Science,Scholarship,824,8/21/2013,Environmental Biology/Zoology,1973,NE
College of Agriculture and Natural Resources,Lincoln,College of Natural Science,Scholarship,824,4/5/2014,Environmental Biology/Zoology,1973,NE
College of Political Science,New Orleans,College of Music,Scholarship,2946,3/19/2012,Composition,1974,LA
College of Arts and Sciences,New Orleans,College of Music,Scholarship,3770,8/29/2013,Composition,1974,LA
Diversity Fund,New Orleans,College of Music,Endowment,3770,5/17/2014,Composition,1974,LA
In-State Scholarship Fund,Scottsdale,College of Education,Scholarship,692,9/2/2012,Special Education-Learning Disabilities,1975,AZ
College of Agriculture and Natural Resources,Scottsdale,College of Education,Scholarship,5680,6/4/2013,Special Education-Learning Disabilities,1975,AZ
College of Business,Scottsdale,College of Education,Scholarship,5680,8/23/2014,Special Education-Learning Disabilities,1975,AZ
Trustees Fund,Raleigh,College of Natural Science,Endowment,6646,9/30/2012,Biomedical Laboratory Science,1976,NC
Trustees Fund,Raleigh,College of Natural Science,Endowment,369,9/19/2013,Biomedical Laboratory Science,1976,NC
Diversity Fund,Houston,College of Political Science,Endowment,7303,10/3/2012,College of Political Science,1977,TX
Honors Program,Houston,College of Political Science,Campus Resource,1601,5/22/2013,College of Political Science,1977,TX
Diversity Fund,Denver,College of Agriculture and Natural Resources,Endowment,9121.5,11/24/2012,Fisheries and Wildlife,1978,CO
Campus Recreation,Denver,College of Agriculture and Natural Resources,Campus Resource,4738.5,6/4/2013,Fisheries and Wildlife,1978,CO
Parents Association,Chicago,College of Social Science,Campus Resource,8886,5/26/2012,Economics,1979,IL
In-State Scholarship Fund,Chicago,College of Social Science,Scholarship,7211,1/9/2013,Economics,1979,IL
Diversity Fund,Chicago,College of Social Science,Endowment,7211,1/29/2014,Economics,1979,IL
College of Natural Science,Austin,College of Natural Science,Scholarship,2489,5/29/2012,Environmental Geosciences,1980,TX
Faculty Chair Endowments,Austin,College of Natural Science,Endowment,6121,2/9/2014,Environmental Geosciences,1980,TX
College of Agriculture and Natural Resources,Kansas City,College of Natural Science,Scholarship,4759,7/12/2012,Statistics,1981,KS
College of Agriculture and Natural Resources,Kansas City,College of Natural Science,Scholarship,8439,4/7/2013,Statistics,1981,KS
University Annual Fund,Denver,College of Engineering,Endowment,9475.5,11/1/2014,Computer Engineering,1982,CO
University Annual Fund,Denver,College of Engineering,Endowment,5400,2/21/2012,Computer Engineering,1982,CO
Campus Recreation,Henderson,College of Agriculture and Natural Resources,Campus Resource,5847,9/28/2013,Horticulture,1983,NV
College of Agriculture and Natural Resources,Henderson,College of Agriculture and Natural Resources,Scholarship,1355,11/26/2014,Horticulture,1983,NV
College of Music,San Francisco,College of Arts and Sciences,Scholarship,3578,2/25/2012,French,1984,CA
Athletics,San Francisco,College of Arts and Sciences,Campus Resource,3402,8/27/2013,French,1984,CA
College of Natural Science,San Francisco,College of Social Science,Scholarship,6464,7/18/2014,World Politics,1985,CA
Diversity Fund,San Francisco,College of Social Science,Endowment,9788,3/20/2012,World Politics,1985,CA
Honors Program,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,4788,4/25/2013,Animal Science,1986,IN
College of Political Science,Indianapolis,College of Agriculture and Natural Resources,Scholarship,7159,10/19/2014,Animal Science,1986,IN
University Annual Fund,Phoenix,College of Natural Science,Endowment,3847,10/7/2012,Zoology,1987,AZ
Diversity Fund,Phoenix,College of Natural Science,Endowment,2896,8/25/2013,Zoology,1987,AZ
College of Nursing,Kansas City,College of Social Science,Scholarship,9667,1/21/2014,Urban and Regional Planning,1988,KS
College of Natural Science,Kansas City,College of Social Science,Scholarship,6779,11/15/2012,Urban and Regional Planning,1988,KS
University Annual Fund,Baton Rouge,College of Arts and Sciences,Endowment,2773,11/20/2013,Spanish,1989,LA
College of Arts and Sciences,Baton Rouge,College of Arts and Sciences,Scholarship,5177,6/10/2014,Spanish,1989,LA
Diversity Fund,Miami,College of Music,Endowment,8797,11/11/2012,Music,1990,FL
University Annual Fund,Miami,College of Music,Endowment,8184,6/2/2013,Music,1990,FL
Faculty Chair Endowments,Seattle,College of Communication Arts and Sciences,Endowment,9471,1/21/2014,Journalism,1991,WA
College of Agriculture and Natural Resources,Seattle,College of Communication Arts and Sciences,Scholarship,650,1/19/2012,Journalism,1991,WA
University Libraries,Miami,College of Arts and Sciences,Campus Resource,4945,10/20/2013,Spanish,1992,FL
Campus Museums,Miami,College of Arts and Sciences,Campus Resource,1080,11/16/2014,Spanish,1992,FL
University Annual Fund,Phoenix,College of Arts and Sciences,Endowment,19,2/23/2012,Humanities-Prelaw,1993,AZ
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,3780,11/27/2013,Humanities-Prelaw,1993,AZ
College of Arts and Sciences,Indianapolis,College of Engineering,Scholarship,8632,8/3/2014,Electrical Engineering,1994,IN
College of Arts and Sciences,Indianapolis,College of Engineering,Scholarship,8599,6/7/2012,Electrical Engineering,1994,IN
University Libraries,Dallas,College of Social Science,Campus Resource,5740,11/27/2013,Interdisciplinary Studies in Social Science,1995,TX
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,7372,6/3/2014,Interdisciplinary Studies in Social Science,1995,TX
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,8241,11/5/2012,Studio Art,1996,CA
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,6904,3/11/2013,Studio Art,1996,CA
Alumni Association,Hartford,College of Engineering,Campus Resource,7242,8/19/2014,Computer Engineering,1997,CT
College of Music,Hartford,College of Engineering,Scholarship,5207,6/3/2012,Computer Engineering,1997,CT
College of Education,Louisville,College of Arts and Sciences,Scholarship,7288,3/6/2013,Apparel and Textiles,1998,KY
College of Arts and Sciences,Louisville,College of Arts and Sciences,Scholarship,493,11/6/2014,Apparel and Textiles,1998,KY
College of Arts and Sciences,Little Rock,College of Natural Science,Scholarship,363,7/1/2012,Computational Mathematics,1999,AR
College of Arts and Sciences,Little Rock,College of Natural Science,Scholarship,8262,4/27/2013,Computational Mathematics,1999,AR
Trustees Fund,Kansas City,College of Natural Science,Endowment,4855,11/24/2014,Plant Biology,2000,MO
Trustees Fund,Kansas City,College of Natural Science,Endowment,8640,1/12/2012,Plant Biology,2000,MO
Faculty Chair Endowments,Portland,College of Natural Science,Endowment,189,4/9/2013,Geological Sciences,2001,OR
Diversity Fund,Portland,College of Natural Science,Endowment,4565,5/13/2014,Geological Sciences,2001,OR
Trustees Fund,Kansas City,College of Natural Science,Endowment,8352,9/6/2012,Environmental Geosciences,2002,KS
Honors Program,Kansas City,College of Natural Science,Campus Resource,6197,4/9/2013,Environmental Geosciences,2002,KS
Parents Association,Detroit,College of Arts and Sciences,Campus Resource,2729,3/13/2014,Russian,2003,MI
College of Communication Arts and Sciences,Detroit,College of Arts and Sciences,Scholarship,6006,6/20/2012,Russian,2003,MI
College of Communication Arts and Sciences,Tallahassee,College of Natural Science,Scholarship,6016,4/12/2013,Genomics & Molecular Genetics,2004,FL
In-State Scholarship Fund,Tallahassee,College of Natural Science,Scholarship,3599,1/31/2014,Genomics & Molecular Genetics,2004,FL
College of Music,Detroit,College of Natural Science,Scholarship,8,12/18/2012,Statistics,2005,MI
University Libraries,Detroit,College of Natural Science,Campus Resource,903,4/2/2013,Statistics,2005,MI
College of Agriculture and Natural Resources,Chicago,College of Agriculture and Natural Resources,Scholarship,4657,4/29/2014,Natural Resource Recreation and Tourism,2006,IL
Diversity Fund,Chicago,College of Agriculture and Natural Resources,Endowment,6225,6/1/2012,Natural Resource Recreation and Tourism,2006,IL
College of Social Science,Tucson,College of Arts and Sciences,Scholarship,794,9/2/2013,German,2007,AZ
Minority Scholarship Fund,Tucson,College of Arts and Sciences,Scholarship,9191,8/25/2014,German,2007,AZ
Faculty Chair Endowments,Mobile,College of Engineering,Endowment,2285,8/10/2012,Computer Engineering,2008,AL
Trustees Fund,Mobile,College of Engineering,Endowment,8998,4/11/2013,Computer Engineering,2008,AL
College of Engineering,Las Vegas,College of Agriculture and Natural Resources,Scholarship,1758,2/11/2014,Environmental Studies and Agriscience,2009,NV
College of Political Science,Las Vegas,College of Agriculture and Natural Resources,Scholarship,1270,11/22/2012,Environmental Studies and Agriscience,2009,NV
College of Natural Science,Rochester,College of Arts and Sciences,Scholarship,6087,3/2/2013,Art History and Visual Culture,2010,NY
University Annual Fund,Rochester,College of Arts and Sciences,Endowment,4049,10/29/2014,Art History and Visual Culture,2010,NY
University Annual Fund,Billings,College of Political Science,Endowment,8481,8/9/2012,Social Relations and Policy,2011,MT
University Annual Fund,Billings,College of Political Science,Endowment,645,8/25/2013,Social Relations and Policy,2011,MT
University Annual Fund,New York,College of Social Science,Endowment,984,8/26/2014,Geography,2012,NY
College of Arts and Sciences,New York,College of Social Science,Scholarship,5110,6/15/2012,Geography,2012,NY
Diversity Fund,Tallahassee,College of Communication Arts and Sciences,Endowment,1556,3/1/2013,Journalism,2013,FL
In-State Scholarship Fund,Tallahassee,College of Communication Arts and Sciences,Scholarship,1562,6/4/2014,Journalism,2013,FL
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,9176,12/30/2012,Psychology,2014,MO
College of Nursing,Kansas City,College of Social Science,Scholarship,3708,5/7/2013,Psychology,2014,MO
College of Agriculture and Natural Resources,Henderson,College of Natural Science,Scholarship,4606,5/6/2014,Computational Mathematics,2015,NV
College of Business,Henderson,College of Natural Science,Scholarship,3009,2/9/2012,Computational Mathematics,2015,NV
College of Business,Orlando,College of Political Science,Scholarship,4930,8/23/2013,Political Theory and Constitutional Democracy,2016,FL
College of Political Science,Orlando,College of Political Science,Scholarship,7895,12/1/2014,Political Theory and Constitutional Democracy,2016,FL
Diversity Fund,San Diego,College of Natural Science,Endowment,824,4/15/2012,Biomedical Laboratory Science,2017,CA
College of Natural Science,San Diego,College of Natural Science,Scholarship,292,5/12/2013,Biomedical Laboratory Science,2017,CA
Parents Association,Denver,College of Agriculture and Natural Resources,Campus Resource,5655,1/10/2014,Environmental Economics and Policy,2018,CO
College of Political Science,Denver,College of Agriculture and Natural Resources,Scholarship,2635.5,10/11/2012,Environmental Economics and Policy,2018,CO
Diversity Fund,Scottsdale,College of Engineering,Endowment,5680,8/2/2013,Materials Science and Engineering,2019,AZ
Campus Recreation,Scottsdale,College of Engineering,Campus Resource,486,2/7/2014,Materials Science and Engineering,2019,AZ
Diversity Fund,Cincinnati,College of Social Science,Endowment,369,11/21/2012,Geographic Information Science,2020,OH
Trustees Fund,Cincinnati,College of Social Science,Endowment,2886,3/22/2013,Geographic Information Science,2020,OH
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1601,6/1/2014,Agribusiness Management,2021,CT
College of Arts and Sciences,Hartford,College of Agriculture and Natural Resources,Scholarship,2279,9/23/2012,Agribusiness Management,2021,CT
College of Education,Atlanta,College of Arts and Sciences,Scholarship,3159,9/26/2013,Philosophy,2022,GA
College of Political Science,Atlanta,College of Arts and Sciences,Scholarship,8953,1/30/2014,Philosophy,2022,GA
Campus Museums,Memphis,College of Natural Science,Campus Resource,7211,11/7/2012,Chemical Physics,2023,TN
University Libraries,Memphis,College of Natural Science,Campus Resource,8299,9/25/2013,Chemical Physics,2023,TN
Honors Program,Phoenix,College of Music,Campus Resource,6121,11/6/2014,Jazz Studies,2024,AZ
Diversity Fund,Phoenix,College of Music,Endowment,3984,9/5/2012,Jazz Studies,2024,AZ
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,8439,1/12/2013,Women's and Gender Studies,2025,AZ
Minority Scholarship Fund,Phoenix,College of Arts and Sciences,Scholarship,6054,10/12/2014,Women's and Gender Studies,2025,AZ
College of Business,Chicago,College of Natural Science,Scholarship,3600,1/3/2012,Biochemistry and Molecular Biology/Biotechnology,2026,IL
Diversity Fund,Chicago,College of Natural Science,Endowment,9438,5/6/2013,Biochemistry and Molecular Biology/Biotechnology,2026,IL
College of Social Science,Phoenix,College of Social Science,Scholarship,1355,7/23/2014,History Education,2027,AZ
Campus Museums,Phoenix,College of Social Science,Campus Resource,4901,8/15/2012,History Education,2027,AZ
Parents Association,Savannah,College of Engineering,Campus Resource,3402,7/7/2013,Computer Engineering,2028,GA
College of Natural Science,Savannah,College of Engineering,Scholarship,6133,11/11/2014,Computer Engineering,2028,GA
Honors Program,Boston,College of Political Science,Campus Resource,9788,2/11/2012,College of Political Science,2029,MA
Parents Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,7159,10/15/2013,Horticulture,2030,FL
Alumni Association,Seattle,College of Education,Campus Resource,2896,8/26/2014,Education,2031,WA
Honors Program,Overland Park,College of Social Science,Campus Resource,6779,7/14/2012,Global & Area Studies - Soc Sci,2032,KS
Trustees Fund,Spokane,College of Agriculture and Natural Resources,Endowment,5177,2/7/2013,Fisheries and Wildlife,2033,WA
Diversity Fund,San Francisco,College of Engineering,Endowment,8184,4/16/2014,Electrical Engineering,2034,CA
Campus Recreation,Chicago,College of Business,Campus Resource,650,4/5/2012,Accounting,2035,IL
College of Natural Science,Phoenix,College of Social Science,Scholarship,1080,6/10/2013,Geography,2036,AZ
College of Natural Science,Little Rock,College of Natural Science,Scholarship,3780,4/24/2014,Actuarial Science,2037,AR
University Annual Fund,Durham,College of Natural Science,Endowment,8599,5/17/2012,Actuarial Science,2038,NC
Diversity Fund,Des Moines,College of Social Science,Endowment,7372,11/14/2013,History,2039,IA
College of Agriculture and Natural Resources,Des Moines,College of Social Science,Scholarship,1532,10/25/2014,History,2039,IA
College of Natural Science,Richmond,College of Political Science,Scholarship,6904,8/23/2012,Comparative Cultures and Politics,2040,VA
Trustees Fund,Richmond,College of Political Science,Endowment,5976,7/1/2013,Comparative Cultures and Politics,2040,VA
Parents Association,Colorado Springs,College of Natural Science,Campus Resource,5207,6/17/2014,Zoology,2041,CO
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,6480,1/29/2012,Zoology,2041,CO
Campus Museums,Raleigh,College of Political Science,Campus Resource,493,5/11/2013,College of Political Science,2042,NC
Trustees Fund,Raleigh,College of Political Science,Endowment,9612,2/2/2014,College of Political Science,2042,NC
Faculty Chair Endowments,Houston,College of Agriculture and Natural Resources,Endowment,8262,2/9/2012,Landscape Architecture,2043,TX
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,3180,2/2/2013,Landscape Architecture,2043,TX
College of Arts and Sciences,Denver,College of Social Science,Scholarship,12960,1/16/2014,Sociology,2044,CO
College of Arts and Sciences,Denver,College of Social Science,Scholarship,13518,11/1/2012,Sociology,2044,CO
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,4565,2/2/2013,Computer Engineering,2045,CA
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,8657,7/5/2014,Computer Engineering,2045,CA
College of Natural Science,Billings,College of Natural Science,Scholarship,6197,11/26/2012,Biochemistry and Molecular Biology/Biotechnology,2046,MT
College of Natural Science,Billings,College of Natural Science,Scholarship,5879,11/19/2013,Biochemistry and Molecular Biology/Biotechnology,2046,MT
College of Social Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,6006,3/25/2014,Construction Management,2047,AZ
Diversity Fund,Phoenix,College of Agriculture and Natural Resources,Endowment,8528,7/18/2012,Construction Management,2047,AZ
Campus Recreation,Indianapolis,College of Natural Science,Campus Resource,3599,5/18/2013,Biochemistry and Molecular Biology,2048,IN
In-State Scholarship Fund,Indianapolis,College of Natural Science,Scholarship,5010,2/23/2014,Biochemistry and Molecular Biology,2048,IN
College of Veterinary Medicine,San Francisco,College of Political Science,Scholarship,903,10/19/2012,Political Theory and Constitutional Democracy,2049,CA
University Annual Fund,San Francisco,College of Political Science,Endowment,6658,1/20/2013,Political Theory and Constitutional Democracy,2049,CA
College of Nursing,Richmond,College of Agriculture and Natural Resources,Scholarship,6225,6/24/2014,Food Science,2050,VA
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,530,1/21/2012,Food Science,2050,VA
University Libraries,Mesa,College of Agriculture and Natural Resources,Campus Resource,9191,10/7/2013,Interior Design,2051,AZ
Athletics,Mesa,College of Agriculture and Natural Resources,Campus Resource,2413,6/11/2014,Interior Design,2051,AZ
College of Education,Denver,College of Agriculture and Natural Resources,Scholarship,13497,6/10/2012,Food Science,2052,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,8419.5,7/8/2013,Food Science,2052,CO
Parents Association,Mobile,College of Natural Science,Campus Resource,1270,10/18/2014,Plant Biology,2053,AL
Faculty Chair Endowments,Mobile,College of Natural Science,Endowment,2464,1/21/2012,Plant Biology,2053,AL
College of Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,4049,12/22/2013,Experience Architecture,2054,CA
University Annual Fund,San Diego,College of Arts and Sciences,Endowment,8017,1/22/2014,Experience Architecture,2054,CA
Campus Recreation,San Diego,College of Arts and Sciences,Campus Resource,645,11/16/2012,Linguistics,2055,CA
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,3883,11/13/2013,Linguistics,2055,CA
Faculty Chair Endowments,Seattle,College of Natural Science,Endowment,5110,2/12/2014,Physical Science Interdepartmental,2056,WA
Campus Museums,Seattle,College of Natural Science,Campus Resource,3715,8/3/2012,Physical Science Interdepartmental,2056,WA
College of Social Science,New York,College of Arts and Sciences,Scholarship,1562,8/1/2013,Linguistics,2057,NY
Minority Scholarship Fund,New York,College of Arts and Sciences,Scholarship,5718,1/10/2014,Linguistics,2057,NY
Trustees Fund,Tulsa,College of Education,Endowment,3708,6/3/2012,Special Education-Learning Disabilities,2058,OK
Honors Program,Tulsa,College of Education,Campus Resource,5275,8/19/2012,Special Education-Learning Disabilities,2058,OK
Campus Museums,Louisville,College of Arts and Sciences,Campus Resource,3009,11/6/2012,English,2059,KY
University Annual Fund,Louisville,College of Arts and Sciences,Endowment,5056,11/24/2012,English,2059,KY
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,7895,5/13/2012,Chemical Physics,2060,TX
College of Business,Dallas,College of Natural Science,Scholarship,5510,3/13/2012,Chemical Physics,2060,TX
College of Political Science,Boston,College of Social Science,Scholarship,292,1/31/2012,Economics,2061,MA
Diversity Fund,Boston,College of Social Science,Endowment,4264,4/29/2012,Economics,2061,MA
College of Agriculture and Natural Resources,Dallas,College of Business,Scholarship,1757,8/25/2012,Hospitality Business,2062,TX
College of Arts and Sciences,Dallas,College of Business,Scholarship,7342,2/11/2012,Hospitality Business,2062,TX
Faculty Chair Endowments,Manchester,College of Music,Endowment,486,10/29/2012,Music Performance,2063,NH
Athletics,Manchester,College of Music,Campus Resource,9665,11/7/2013,Music Performance,2063,NH
College of Natural Science,Cincinnati,College of Arts and Sciences,Scholarship,2886,2/8/2014,Women's and Gender Studies,2064,OH
Parents Association,Cincinnati,College of Arts and Sciences,Campus Resource,9013,8/26/2012,Women's and Gender Studies,2064,OH
College of Engineering,Mobile,College of Arts and Sciences,Scholarship,2279,7/4/2013,Professional Writing,2065,AL
College of Business,Mobile,College of Arts and Sciences,Scholarship,309,8/4/2014,Professional Writing,2065,AL
College of Agriculture and Natural Resources,Denver,College of Arts and Sciences,Scholarship,13429.5,6/4/2012,Art Education,2066,CO
Honors Program,Denver,College of Arts and Sciences,Campus Resource,11214,5/9/2013,Art Education,2066,CO
University Libraries,Manchester,College of Arts and Sciences,Campus Resource,8299,3/27/2014,Arts & Letters-General,2067,NH
